authors	title	venue	year
Gurjit Singh Walia,Gaurav Jain,Nipun Bansal,Kuldeep Singh 0002	Adaptive Weighted Graph Approach to Generate Multimodal Cancelable Biometric Templates.	TIFS	2020
Jiaojiao Jiang,Sheng Wen,Shui Yu,Yang Xiang 0001,Wanlei Zhou	K-Center: An Approach on the Multi-Source Identification of Information Diffusion.	TIFS	2015
Bing Zeng,Christophe Tartary,Peng Xu,Jiandu Jing,Xueming Tang	A Practical Framework for $t$-Out-of- $n$ Oblivious Transfer With Security Against Covert Adversaries.	TIFS	2012
Jiawei Yuan,Shucheng Yu	Public Integrity Auditing for Dynamic Data Sharing With Multiuser Modification.	TIFS	2015
Pietro Lovato,Manuele Bicego,Cristina Segalin,Alessandro Perina,Nicu Sebe,Marco Cristani	Faved! Biometrics: Tell Me Which Image You Like and I'll Tell You Who You Are.	TIFS	2014
Wei Yang 0008,Yongbin Zhou,Yuchen Cao,Hailong Zhang 0001,Qian Zhang 0042,Huan Wang	Multi-Channel Fusion Attacks.	TIFS	2017
Huadi Zheng,Haibo Hu 0001	MISSILE: A System of Mobile Inertial Sensor-Based Sensitive Indoor Location Eavesdropping.	TIFS	2020
Gabriel Domínguez-Conde,Pedro Comesaña Alfaro,Fernando Pérez-González	Performance analysis of Fridrich-Goljan self-embedding authentication method.	TIFS	2009
Lin Chen 0002,Jean Leneutre	A game theoretical framework on intrusion detection in heterogeneous networks.	TIFS	2009
Diksha Golait,Neminath Hubballi	Detecting Anomalous Behavior in VoIP Systems: A Discrete Event System Modeling.	TIFS	2017
Yingbin Liang,H. Vincent Poor,Lei Ying	Secure Communications Over Wireless Broadcast Networks: Stability and Utility Maximization.	TIFS	2011
Alberto Compagno,Mauro Conti,Antonio A. D'Amico,Gianluca Dini,Pericle Perazzo,Lorenzo Taponecco	Modeling Enlargement Attacks Against UWB Distance Bounding Protocols.	TIFS	2016
Shengmin Xu,Jianting Ning,Xinyi Huang 0001,Jianying Zhou 0001,Robert H. Deng	Server-Aided Bilateral Access Control for Secure Data Sharing With Dynamic User Groups.	TIFS	2021
Sankardas Roy,Mauro Conti,Sanjeev Setia,Sushil Jajodia	Secure Data Aggregation in Wireless Sensor Networks.	TIFS	2012
Jiangshan Yu,Guilin Wang,Yi Mu 0001,Wei Gao 0007	An Efficient Generic Framework for Three-Factor Authentication With Provably Secure Instantiation.	TIFS	2014
Khandaker Abir Rahman,Kiran S. Balagani,Vir V. Phoha	Snoop-Forge-Replay Attacks on Continuous Verification With Keystrokes.	TIFS	2013
Xiaokui Shu,Jing Zhang 0039,Danfeng Yao,Wu-chun Feng	Fast Detection of Transformed Data Leaks.	TIFS	2016
Si Gao,Elisabeth Oswald,Yan Yan	Neyman's Smoothness Test: A Trade-Off Between Moment-Based and Distribution-Based Leakage Detections.	TIFS	2021
Chris G. Zeinstra,Raymond N. J. Veldhuis,Luuk J. Spreeuwers	Grid-Based Likelihood Ratio Classifiers for the Comparison of Facial Marks.	TIFS	2018
Yuan Cao 0003,Chip-Hong Chang,Shoushun Chen	A Cluster-Based Distributed Active Current Sensing Circuit for Hardware Trojan Detection.	TIFS	2014
Eduardo José da S. Luz,Gladston J. P. Moreira,Luiz Eduardo Soares de Oliveira,William Robson Schwartz,David Menotti	Learning Deep Off-the-Person Heart Biometrics Representations.	TIFS	2018
Ting He,Lang Tong	Distributed Detection of Information Flows.	TIFS	2008
Kostantinos Papadamou,Steven Gevers,Christos Xenakis,Michael Sirivianos,Savvas Zannettou,Bogdan Chifor,Sorin Teican,George Gugulea,Alberto Caponi,Annamaria Recupero,Claudio Pisa,Giuseppe Bianchi 0001	Killing the Password and Preserving Privacy With Device-Centric and Attribute-Based Authentication.	TIFS	2020
Luis Pérez-Freire,Fernando Pérez-González,Sviatoslav Voloshynovskiy	An accurate analysis of scalar quantization-based data hiding.	TIFS	2006
Yu Wang 0114,Yun Cao,Xianfeng Zhao	Minimizing Embedding Impact for H.264 Steganography by Progressive Trellis Coding.	TIFS	2021
Rang Liu,Ming Li 0011,Qian Liu 0001,A. Lee Swindlehurst	Secure Symbol-Level Precoding in MU-MISO Wiretap Systems.	TIFS	2020
Rajorshi Biswas,Sungji Kim,Jie Wu 0001	Sampling Rate Distribution for Flow Monitoring and DDoS Detection in Datacenter.	TIFS	2021
Mohsen Zareian,Hamid Reza Tohidypour	A Novel Gain Invariant Quantization-Based Watermarking Approach.	TIFS	2014
Farinaz Koushanfar	Provably Secure Active IC Metering Techniques for Piracy Avoidance and Digital Rights Management.	TIFS	2012
Weiqi Luo,Fangjun Huang,Jiwu Huang	Edge adaptive image steganography based on LSB matching revisited.	TIFS	2010
Ke Cui,Jian Wang,Hong-Fei Zhang,Chun-Li Luo,Ge Jin,Teng-Yun Chen	A Real-Time Design Based on FPGA for Expeditious Error Reconciliation in QKD System.	TIFS	2013
Thanh Ha Le,Jessy Clédière,Christine Servière,Jean-Louis Lacoume	Noise Reduction in Side Channel Attack Using Fourth-Order Cumulant.	TIFS	2007
Haichang Gao,Mengyun Tang,Yi Liu 0042,Ping Zhang,Xiyang Liu	Research on the Security of Microsoft's Two-Layer Captcha.	TIFS	2017
Yahya S. Khiabani,Shuangqing Wei	ARQ-Based Symmetric-Key Generation Over Correlated Erasure Channels.	TIFS	2013
Xiaoyan Sun 0003,Jun Dai,Peng Liu 0005,Anoop Singhal,John Yen	Using Bayesian Networks for Probabilistic Identification of Zero-Day Attack Paths.	TIFS	2018
Fan Zhang 0010,Shize Guo,Xinjie Zhao 0001,Tao Wang 0008,Jian Yang 0018,François-Xavier Standaert,Dawu Gu	A Framework for the Analysis and Evaluation of Algebraic Fault Attacks on Lightweight Block Ciphers.	TIFS	2016
Adi Hajj-Ahmad,Séverine Baudry,Bertrand Chupeau,Gwenaël J. Doërr,Min Wu 0001	Flicker Forensics for Camcorder Piracy.	TIFS	2017
Zhihai Yang,Qindong Sun,Yaling Zhang,Lei Zhu,Wenjiang Ji	Inference of Suspicious Co-Visitation and Co-Rating Behaviors and Abnormality Forensics for Recommender Systems.	TIFS	2020
Yuan Liang,Tongtong Li	On the Discreteness of the Worst Jamming Distribution for SP-OFDM.	TIFS	2020
Yvonne Höller,Arne C. Bathke,Andreas Uhl	Age, Sex, and Pathology Effects on Stability of Electroencephalographic Biometric Features Based on Measures of Interaction.	TIFS	2019
Ke Xu,Yingjiu Li,Robert H. Deng	ICCDetector: ICC-Based Malware Detection on Android.	TIFS	2016
Fei Ma,Xiaoyuan Jing,Xiao Zhu,Zhenmin Tang,Zhiping Peng	True-Color and Grayscale Video Person Re-Identification.	TIFS	2020
Linjie Guo,Jiangqun Ni,Yun Q. Shi 0001	Uniform Embedding for Efficient JPEG Steganography.	TIFS	2014
Jiexin Zhang 0001,Alastair R. Beresford,Ian Sheret	Factory Calibration Fingerprinting of Sensors.	TIFS	2021
Hang Su 0006,Hua Yang 0001,Shibao Zheng,Yawen Fan,Sha Wei	The Large-Scale Crowd Behavior Perception Based on Spatio-Temporal Viscous Fluid Field.	TIFS	2013
Naofumi Homma,Kazuya Saito,Takafumi Aoki	A Formal Approach to Designing Cryptographic Processors Based on $GF(2^m)$ Arithmetic Circuits.	TIFS	2012
Andrew Nadeau,Gaurav Sharma 0001	An Audio Watermark Designed for Efficient and Robust Resynchronization After Analog Playback.	TIFS	2017
Javier Galbally,Iwen Coisel,Ignacio Sanchez	A New Multimodal Approach for Password Strength Estimation - Part II: Experimental Evaluation.	TIFS	2017
Xavier Rolland-Nevière,Gwenaël J. Doërr,Pierre Alliez	Triangle Surface Mesh Watermarking Based on a Constrained Optimization Framework.	TIFS	2014
Lin Liu,Rongmao Chen,Ximeng Liu,Jinshu Su,Linbo Qiao	Towards Practical Privacy-Preserving Decision Tree Training and Evaluation in the Cloud.	TIFS	2020
Penny Chong,Yuval Elovici,Alexander Binder	User Authentication Based on Mouse Dynamics Using Deep Neural Networks: A Comprehensive Study.	TIFS	2020
Ming-Hour Yang,Ming-Chien Yang	RIHT: A Novel Hybrid IP Traceback Scheme.	TIFS	2012
Tao Wu 0009,Pavan K. Turaga,Rama Chellappa	Age Estimation and Face Verification Across Aging Using Landmarks.	TIFS	2012
Zhiguo Wan,Jun-e Liu,Robert H. Deng	HASBE: A Hierarchical Attribute-Based Solution for Flexible and Scalable Access Control in Cloud Computing.	TIFS	2012
Anjith George,Zohreh Mostaani,David Geissbühler,Olegs Nikisins,André Anjos,Sébastien Marcel	Biometric Face Presentation Attack Detection With Multi-Channel Convolutional Neural Network.	TIFS	2020
Boris Skoric	Tally-Based Simple Decoders for Traitor Tracing and Group Testing.	TIFS	2015
Jinho Choi 0001	On Channel-Aware Secure HARQ-IR.	TIFS	2017
Francesco Marra,Giovanni Poggi,Carlo Sansone,Luisa Verdoliva	Blind PRNU-Based Image Clustering for Source Identification.	TIFS	2017
Hailong Zhang 0001	On the Exact Relationship Between the Success Rate of Template Attack and Different Parameters.	TIFS	2020
Vinod Pankajakshan,Gwenaël J. Doërr,Prabin Kumar Bora	Detection of motion-incoherent components in video streams.	TIFS	2009
Chengtang Yao,Yunde Jia,Huijun Di,Yuwei Wu	Face Spoofing Detection Using Relativity Representation on Riemannian Manifold.	TIFS	2020
Qiguang Liu,Xiaochun Cao,Chao Deng,Xiaojie Guo	Identifying Image Composites Through Shadow Matte Consistency.	TIFS	2011
Ximeng Liu,Robert H. Deng,Wenxiu Ding,Rongxing Lu,Baodong Qin	Privacy-Preserving Outsourced Calculation on Floating Point Numbers.	TIFS	2016
Amin Merati,Norman Poh,Josef Kittler	User-Specific Cohort Selection and Score Normalization for Biometric Systems.	TIFS	2012
Xiaofeng Chen 0001,Xinyi Huang,Jin Li 0002,Jianfeng Ma 0001,Wenjing Lou,Duncan S. Wong	New Algorithms for Secure Outsourcing of Large-Scale Systems of Linear Equations.	TIFS	2015
Meng Pang,Binghui Wang,Yiu-Ming Cheung,Yiran Chen,Bihan Wen	VD-GAN: A Unified Framework for Joint Prototype and Representation Learning From Contaminated Single Sample per Person.	TIFS	2021
Ahmed Alahmadi,Zhaoxi Fang,Tianlong Song,Tongtong Li	Subband PUEA Detection and Mitigation in OFDM-Based Cognitive Radio Networks.	TIFS	2015
Dhanushka Kudathanthirige,Santosh Timilsina,Gayan Amarasuriya Aruma Baduge	Secure Communication in Relay-Assisted Massive MIMO Downlink With Active Pilot Attacks.	TIFS	2019
Andrey V. Lyamin,Elena N. Cherepovskaya	An Approach to Biometric Identification by Using Low-Frequency Eye Tracker.	TIFS	2017
Takao Murakami,Hajime Watanabe	Localization Attacks Using Matrix and Tensor Factorization.	TIFS	2016
Hasini Gunasinghe,Elisa Bertino	PrivBioMTAuth: Privacy Preserving Biometrics-Based and User Centric Protocol for User Authentication From Mobile Phones.	TIFS	2018
Ehsan Nezhadarya,Z. Jane Wang 0001,Rabab K. Ward	Robust Image Watermarking Based on Multiscale Gradient Direction Quantization.	TIFS	2011
Suqing Lin,Rui Zhang 0002,Hui Ma 0002,Suqing Wang	Revisiting Attribute-Based Encryption With Verifiable Outsourced Decryption.	TIFS	2015
Norman Poh,Chi-Ho Chan,Josef Kittler,Sébastien Marcel,Chris McCool,Enrique Argones-Rúa,José Luis Alba-Castro,Mauricio Villegas,Roberto Paredes,Vitomir Struc,Nikola Pavesic,Albert Ali Salah,Hui Fang 0003,Nicholas Costen	An Evaluation of Video-to-Video Face Verification.	TIFS	2010
Ankit Shah 0002,Rajesh Ganesan,Sushil Jajodia,Hasan Çam	Understanding Tradeoffs Between Throughput, Quality, and Cost of Alert Analysis in a CSOC.	TIFS	2019
Pedro C. Pinto,João Barros,Moe Z. Win	Secure Communication in Stochastic Wireless Networks - Part I: Connectivity.	TIFS	2012
Zhongwu Xiang,Weiwei Yang 0001,Gaofeng Pan,Yueming Cai,Yi Song,YuLong Zou	Secure Transmission in HARQ-Assisted Non-Orthogonal Multiple Access Networks.	TIFS	2020
Andrey Kuehlkamp,Allan Pinto,Anderson Rocha 0001,Kevin W. Bowyer,Adam Czajka	Ensemble of Multi-View Learning Classifiers for Cross-Domain Iris Presentation Attack Detection.	TIFS	2019
Alireza Alaei,Srikanta Pal,Umapada Pal 0001,Michael Blumenstein	An Efficient Signature Verification Method Based on an Interval Symbolic Representation and a Fuzzy Similarity Measure.	TIFS	2017
Francesco G. B. De Natale,Giulia Boato	Detecting Morphological Filtering of Binary Images.	TIFS	2017
Mahdi Khosravy,Kazuaki Nakamura,Yuki Hirose,Naoko Nitta,Noboru Babaguchi	Model Inversion Attack by Integration of Deep Generative Models: Privacy-Sensitive Face Generation From a Face Recognition System.	TIFS	2022
Kaitai Liang,Man Ho Au,Joseph K. Liu,Willy Susilo,Duncan S. Wong,Guomin Yang,Tran Viet Xuan Phuong,Qi Xie	A DFA-Based Functional Proxy Re-Encryption Scheme for Secure Public Cloud Data Sharing.	TIFS	2014
Jianzhu Guo,Xiangyu Zhu,Zhen Lei,Stan Z. Li	Decomposed Meta Batch Normalization for Fast Domain Adaptation in Face Recognition.	TIFS	2021
Yidong Li,Hong Shen 0001	On Identity Disclosure Control for Hypergraph-Based Data Publishing.	TIFS	2013
Emir Erdem,Mehmet Tahir Sandikkaya	OTPaaS - One Time Password as a Service.	TIFS	2019
Arcangelo Castiglione,Alfredo De Santis,Barbara Masucci,Francesco Palmieri 0002,Aniello Castiglione,Jin Li 0002,Xinyi Huang	Hierarchical and Shared Access Control.	TIFS	2016
Rui Zhao 0005,Chuan Yue,Qi Han 0001	Sensor-Based Mobile Web Cross-Site Input Inference Attacks and Defenses.	TIFS	2019
Vivek Kanhangad,Ajay Kumar 0001,David Zhang 0001	A Unified Framework for Contactless Hand Verification.	TIFS	2011
Asma Rabaoui,Manuel Davy,Stéphane Rossignol,Zied Ellouze	Using One-Class SVMs and Wavelets for Audio Surveillance.	TIFS	2008
Bashar A. Rajoub,Reyer Zwiggelaar	Thermal Facial Analysis for Deception Detection.	TIFS	2014
Vincent Christlein,Christian Riess,Johannes Jordan,Corinna Riess,Elli Angelopoulou	An Evaluation of Popular Copy-Move Forgery Detection Approaches.	TIFS	2012
Jon W. Wallace,Rajesh K. Sharma	Automatic secret keys from reciprocal MIMO wireless channels: measurement and analysis.	TIFS	2010
Zhe Liu 0001,Hwajeong Seo	IoT-NUMS: Evaluating NUMS Elliptic Curve Cryptography for IoT Platforms.	TIFS	2019
Hao Dong 0003,Chao Wu 0001,Zhen Wei,Yike Guo	Dropping Activation Outputs With Localized First-Layer Deep Network for Enhancing User Privacy and Data Security.	TIFS	2018
Udit Satija,Nikita Trivedi,Gagarin Biswal,Barathram Ramkumar	Specific Emitter Identification Based on Variational Mode Decomposition and Spectral Features in Single Hop and Relaying Scenarios.	TIFS	2019
Debayan Deb,Anil K. Jain 0001	Look Locally Infer Globally: A Generalizable Face Anti-Spoofing Approach.	TIFS	2021
Nate Goergen,Wan-Yi Sabrina Lin,K. J. Ray Liu,T. Charles Clancy	Extrinsic Channel-Like Fingerprinting Overlays Using Subspace Embedding.	TIFS	2011
Kai Wang 0002,Guillaume Lavoué,Florence Denis,Atilla Baskurt	Hierarchical Watermarking of Semiregular Meshes Based on Wavelet Transform.	TIFS	2008
Derek Justice,Alfred O. Hero III	Estimation of message source and destination from network intercepts.	TIFS	2006
Parth Pradhan,Parv Venkitasubramaniam	Stealthy Attacks in Dynamical Systems: Tradeoffs Between Utility and Detectability With Application in Anonymous Systems.	TIFS	2017
Nitesh Saxena,Jeong Hyun Yi	Noninteractive self-certification for long-lived mobile ad hoc networks.	TIFS	2009
Chonlatid Deerada,Krisada Phromsuthirak,Arucha Rungchokanun,Vutipong Areekul	Progressive Focusing Algorithm for Reliable Pose Estimation of Latent Fingerprints.	TIFS	2020
Feng Ye,Zheyuan Cheng,Xianghui Cao,Mo-Yuen Chow	A Random-Weight Privacy-Preserving Algorithm With Error Compensation for Microgrid Distributed Energy Management.	TIFS	2021
Razan Tajeddine,Antonia Wachter-Zeh,Camilla Hollanti	Private Information Retrieval Over Random Linear Networks.	TIFS	2020
Yuxi Liu,Dimitrios Hatzinakos	Earprint: Transient Evoked Otoacoustic Emission for Biometrics.	TIFS	2014
Guang Hua 0001,Ying Zhang 0047,Jonathan Goh,Vrizlynn L. L. Thing	Audio Authentication by Exploring the Absolute-Error-Map of ENF Signals.	TIFS	2016
Santosh Tirunagari,Norman Poh,David Windridge,Aamo Iorliam,Nik Suki,Anthony Tung Shuen Ho	Detection of Face Spoofing Using Visual Dynamics.	TIFS	2015
Yue Xiao 0003,Peng Zhang,Yuhong Liu	Secure and Efficient Multi-Signature Schemes for Fabric: An Enterprise Blockchain Platform.	TIFS	2021
Ravi Garg,Avinash L. Varna,Adi Hajj-Ahmad,Min Wu 0001	"Seeing" ENF: Power-Signature-Based Timestamp for Digital Multimedia via Optical Sensing and Signal Processing.	TIFS	2013
Kai-Hui Lee,Pei-Ling Chiu	Digital Image Sharing by Diverse Image Media.	TIFS	2014
Wonwoo Cho,Nam Yul Yu	Secure and Efficient Compressed Sensing-Based Encryption With Sparse Matrices.	TIFS	2020
Zoe Lin Jiang,Junbin Fang,Frank Y. W. Law,Pierre K. Y. Lai,Ricci S. C. Ieong,Michael Y. K. Kwan,K. P. Chow,Lucas C. K. Hui,Siu-Ming Yiu,Kevin K. H. Pun	Maintaining Hard Disk Integrity With Digital Legal Professional Privilege (LPP) Data.	TIFS	2013
Hua Deng,Zheng Qin,Qianhong Wu,Zhenyu Guan,Robert H. Deng,Yujue Wang,Yunya Zhou	Identity-Based Encryption Transformation for Flexible Sharing of Encrypted Data in Public Cloud.	TIFS	2020
Xudong Lv,Z. Jane Wang 0001	Compressed Binary Image Hashes Based on Semisupervised Spectral Embedding.	TIFS	2013
Bing Zeng,Jeff Siu-Kei Au-Yeung,Shuyuan Zhu,Moncef Gabbouj	Perceptual Encryption of H.264 Videos: Embedding Sign-Flips Into the Integer-Based Transforms.	TIFS	2014
Sha Ma,Qiong Huang,Mingwu Zhang,Bo Yang 0003	Efficient Public Key Encryption With Equality Test Supporting Flexible Authorization.	TIFS	2015
